date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:15:54	64445/64445	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22640c7a90-fbbd%22	https://layerdrops.com/govity/main-html/assets/vendors/govity-icons/fonts/icomoon.svg?ar3v0u	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/govity-icons/fonts/icomoon3232.svg	(from https://layerdrops.com/govity/main-html/assets/vendors/govity-icons/style.css)
12:15:55	54748/54748	---M--	200	added ('OK')	font/woff2	etag:%2261de2244-d5dc%22	https://layerdrops.com/govity/main-html/assets/vendors/reey-font/reey-regular-webfont.woff2	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/reey-font/reey-regular-webfont.woff2	(from https://layerdrops.com/govity/main-html/assets/vendors/reey-font/stylesheet.css)
12:15:55	64336/64336	---M--	200	added ('OK')	font/woff	etag:%2261de2244-fb50%22	https://layerdrops.com/govity/main-html/assets/vendors/reey-font/reey-regular-webfont.woff	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/reey-font/reey-regular-webfont.woff	(from https://layerdrops.com/govity/main-html/assets/vendors/reey-font/stylesheet.css)
12:15:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Nov%202023%2009:15:55%20GMT	https://layerdrops.com/govity/main-html/assets/vendors/owl-carousel/owl.video.play.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/owl-carousel/owl.video.play.png	(from https://layerdrops.com/govity/main-html/assets/vendors/owl-carousel/owl.carousel.min.css)
12:15:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Nov%202023%2009:15:55%20GMT	https://layerdrops.com/govity/main-html/assets/vendors/images/icon/bx_loader.gif	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/images/icon/bx_loader.gif	(from https://layerdrops.com/govity/main-html/assets/vendors/bxslider/jquery.bxslider.css)
12:15:55	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Nov%202023%2009:15:55%20GMT	https://layerdrops.com/govity/main-html/assets/vendors/img/bx-slider/controls.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/img/bx-slider/controls.png	(from https://layerdrops.com/govity/main-html/assets/vendors/bxslider/jquery.bxslider.css)
12:15:56	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2009%20Nov%202023%2009:15:55%20GMT	https://layerdrops.com/govity/main-html/assets/vendors/vegas/overlays/02.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/vegas/overlays/02.png	(from https://layerdrops.com/govity/main-html/assets/vendors/vegas/vegas.min.css)
12:15:56	280/280	---M--	200	added ('OK')	image/png	etag:%2261de2240-118%22	https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_highlight-soft_75_cccccc_1x100.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_highlight-soft_75_cccccc_1x100.png	(from https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/jquery-ui.css)
12:15:56	262/262	---M--	200	added ('OK')	image/png	etag:%2261de2240-106%22	https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_glass_75_e6e6e6_1x400.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_glass_75_e6e6e6_1x400.png	(from https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/jquery-ui.css)
12:15:56	262/262	---M--	200	added ('OK')	image/png	etag:%2261de2240-106%22	https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_glass_75_dadada_1x400.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_glass_75_dadada_1x400.png	(from https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/jquery-ui.css)
12:15:57	207/207	---M--	200	added ('OK')	image/png	etag:%2261de2240-cf%22	https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_glass_65_ffffff_1x400.png	C:/My%20Web%20Sites/gov/layerdrops.com/govity/main-html/assets/vendors/jquery-ui/images/ui-bg_glass_65_ffffff_1x400.png	(from https://layerdrops.com/govity/main-html/assets/vendors/jquery-ui/jquery-ui.css)
